channelA1,channelB1,channelA2,channelB2,channelA3,channelB3,channelA4,channelB4,channelA5,channelB5
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.1,0.01,0.1,0.01,0,0.01,0,0.01,0,0.01
0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01
0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.02,0.1,0.02
0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02
0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02
0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.03,0.1,0.03
0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03
0.1,0.03,0.1,0.04,0.1,0.04,0.1,0.04,0.1,0.04
0.1,0.04,0.1,0.04,0.1,0.04,0.1,0.04,0.1,0.04
0.1,0.04,0.1,0.04,0.1,0.04,0.1,0.04,0.1,0.04
0.1,0.04,0.1,0.04,0.1,0.04,0.1,0.04,0.1,0.04
0.1,0.04,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05
0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05
0.1,0.05,0.1,0.06,0.1,0.06,0.1,0.06,0.1,0.06
0.2,0.06,0.1,0.06,0.1,0.06,0.1,0.06,0.1,0.06
0.2,0.06,0.2,0.06,0.1,0.07,0.1,0.07,0.1,0.07
0.2,0.06,0.1,0.07,0.1,0.07,0.1,0.07,0.1,0.07
0.2,0.06,0.1,0.07,0.1,0.07,0.1,0.07,0.1,0.07
0.2,0.07,0.1,0.07,0.1,0.07,0.1,0.08,0.1,0.08
0.2,0.07,0.1,0.08,0.1,0.08,0.1,0.08,0.1,0.08
0.2,0.08,0.2,0.08,0.1,0.09,0.1,0.09,0.1,0.09
0.2,0.08,0.2,0.08,0.1,0.09,0.1,0.09,0.1,0.09
0.2,0.08,0.2,0.09,0.1,0.09,0.1,0.09,0.1,0.09
0.3,0.08,0.2,0.09,0.1,0.09,0.1,0.09,0.1,0.09
0.3,0.08,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.3,0.09,0.2,0.1,0.2,0.1,0.1,0.11,0.1,0.11
0.4,0.08,0.2,0.1,0.1,0.11,0.1,0.11,0.1,0.11
0.4,0.09,0.2,0.1,0.2,0.11,0.1,0.11,0.1,0.11
0.3,0.09,0.2,0.11,0.2,0.11,0.1,0.11,0.1,0.11
0.5,0.09,0.2,0.11,0.2,0.12,0.1,0.12,0.1,0.12
0.5,0.09,0.2,0.12,0.2,0.12,0.1,0.12,0.1,0.13
0.5,0.09,0.3,0.12,0.2,0.13,0.2,0.13,0.1,0.13
0.6,0.09,0.2,0.12,0.2,0.13,0.2,0.13,0.1,0.13
0.6,0.09,0.3,0.12,0.2,0.13,0.2,0.14,0.1,0.14
0.6,0.09,0.3,0.12,0.2,0.13,0.2,0.14,0.2,0.14
0.7,0.09,0.3,0.12,0.2,0.14,0.2,0.14,0.1,0.14
0.8,0.09,0.4,0.13,0.2,0.14,0.2,0.15,0.2,0.15
0.8,0.09,0.4,0.13,0.2,0.15,0.2,0.15,0.2,0.15
0.8,0.09,0.4,0.14,0.2,0.15,0.2,0.16,0.1,0.16
0.9,0.09,0.5,0.13,0.2,0.16,0.2,0.16,0.2,0.16
0.9,0.09,0.6,0.12,0.2,0.16,0.2,0.16,0.2,0.17
0.9,0.1,0.6,0.13,0.3,0.16,0.2,0.17,0.2,0.17
1,0.08,0.6,0.13,0.3,0.16,0.2,0.17,0.2,0.17
1.1,0.09,0.6,0.13,0.3,0.17,0.2,0.17,0.2,0.18
1.1,0.09,0.6,0.14,0.3,0.17,0.2,0.18,0.2,0.18
1.1,0.09,0.8,0.13,0.3,0.17,0.2,0.18,0.2,0.18
1.2,0.09,0.8,0.12,0.3,0.17,0.2,0.19,0.2,0.19
1.1,0.09,0.8,0.13,0.3,0.17,0.2,0.19,0.2,0.19
1.3,0.09,0.8,0.13,0.4,0.18,0.2,0.19,0.2,0.2
1.3,0.09,0.9,0.13,0.4,0.18,0.2,0.2,0.2,0.2
1.3,0.09,0.9,0.13,0.5,0.18,0.2,0.2,0.2,0.2
1.4,0.09,1,0.13,0.4,0.18,0.2,0.2,0.2,0.2
1.4,0.09,1.1,0.12,0.5,0.18,0.2,0.21,0.2,0.21
1.4,0.09,1,0.13,0.5,0.18,0.2,0.21,0.2,0.21
1.5,0.09,1.1,0.13,0.6,0.18,0.2,0.22,0.2,0.22
1.6,0.09,1.1,0.13,0.6,0.19,0.3,0.22,0.2,0.23
1.6,0.09,1.1,0.13,0.6,0.18,0.3,0.22,0.2,0.23
1.6,0.09,1.2,0.13,0.6,0.19,0.3,0.22,0.2,0.23
1.6,0.09,1.3,0.12,0.7,0.18,0.3,0.23,0.2,0.23
1.7,0.09,1.3,0.13,0.7,0.18,0.3,0.23,0.2,0.24
1.7,0.1,1.3,0.13,0.8,0.19,0.3,0.24,0.2,0.24
1.8,0.09,1.4,0.13,0.8,0.19,0.4,0.23,0.2,0.25
1.9,0.09,1.4,0.13,0.9,0.19,0.4,0.24,0.3,0.25
1.9,0.09,1.4,0.14,0.9,0.19,0.4,0.24,0.2,0.25
1.9,0.09,1.6,0.12,1,0.18,0.4,0.24,0.2,0.26
1.9,0.09,1.6,0.13,1,0.18,0.4,0.24,0.2,0.26
1.9,0.1,1.6,0.13,1.1,0.18,0.4,0.24,0.3,0.26
2,0.09,1.6,0.13,1.1,0.18,0.5,0.24,0.2,0.27
2.1,0.09,1.7,0.13,1.1,0.19,0.6,0.24,0.3,0.27
2.1,0.09,1.6,0.14,1.2,0.18,0.6,0.24,0.3,0.27
2.2,0.09,1.8,0.12,1.2,0.18,0.6,0.25,0.3,0.27
2.2,0.09,1.8,0.12,1.2,0.18,0.6,0.24,0.3,0.28
2.2,0.09,1.8,0.13,1.3,0.18,0.6,0.25,0.3,0.28
2.3,0.09,1.9,0.13,1.4,0.18,0.8,0.24,0.3,0.29
2.4,0.08,1.9,0.13,1.4,0.18,0.8,0.24,0.4,0.28
2.4,0.08,1.9,0.14,1.4,0.18,0.8,0.24,0.4,0.28
2.4,0.09,2,0.12,1.4,0.18,0.8,0.25,0.4,0.28
2.4,0.09,2.1,0.12,1.5,0.19,0.8,0.25,0.4,0.29
2.5,0.09,2.1,0.13,1.5,0.19,0.8,0.26,0.4,0.3
2.5,0.1,2.1,0.13,1.6,0.19,1,0.25,0.5,0.29
2.6,0.09,2.2,0.13,1.6,0.19,1,0.25,0.6,0.29
2.6,0.08,2.2,0.13,1.7,0.18,1,0.25,0.5,0.3
2.6,0.09,2.2,0.13,1.7,0.19,1,0.25,0.6,0.29
2.7,0.09,2.3,0.12,1.7,0.18,1.1,0.25,0.6,0.29
2.7,0.09,2.4,0.13,1.8,0.19,1.1,0.25,0.6,0.31
2.7,0.1,2.4,0.13,1.8,0.19,1.2,0.25,0.8,0.29
2.8,0.09,2.4,0.13,1.9,0.19,1.3,0.25,0.8,0.3
2.9,0.09,2.5,0.13,1.9,0.19,1.3,0.25,0.8,0.3
2.9,0.09,2.5,0.13,1.9,0.19,1.3,0.25,0.8,0.3
2.9,0.09,2.6,0.12,2,0.19,1.4,0.25,0.9,0.3
3,0.09,2.6,0.13,2,0.18,1.4,0.25,0.8,0.3
3,0.09,2.6,0.13,2.1,0.18,1.5,0.24,1,0.29
3,0.09,2.7,0.13,2.1,0.18,1.5,0.25,1,0.3
3.2,0.08,2.7,0.13,2.2,0.18,1.5,0.25,1,0.3
3.2,0.09,2.7,0.14,2.2,0.18,1.5,0.25,1.1,0.3
3.2,0.09,2.9,0.12,2.2,0.18,1.6,0.25,1.1,0.3
3.2,0.09,2.9,0.12,2.3,0.18,1.6,0.25,1.2,0.3
3.3,0.09,2.9,0.13,2.3,0.18,1.8,0.24,1.2,0.29
3.2,0.1,2.9,0.13,2.4,0.18,1.8,0.25,1.2,0.3
3.4,0.09,3,0.13,2.4,0.18,1.8,0.25,1.3,0.3
3.4,0.08,2.9,0.14,2.5,0.18,1.8,0.25,1.3,0.3
3.5,0.09,3.1,0.12,2.5,0.19,1.8,0.25,1.2,0.31
3.5,0.09,3.1,0.13,2.5,0.19,1.8,0.26,1.4,0.3
3.5,0.09,3.1,0.13,2.6,0.19,2,0.25,1.5,0.3
3.5,0.1,3.2,0.13,2.6,0.19,2,0.25,1.5,0.3
3.6,0.09,3.2,0.13,2.7,0.18,2,0.25,1.5,0.3
3.7,0.08,3.2,0.14,2.7,0.18,2,0.25,1.6,0.3
3.7,0.09,3.3,0.13,2.7,0.19,2.1,0.25,1.5,0.31
3.7,0.09,3.4,0.12,2.8,0.19,2.1,0.25,1.7,0.29
3.8,0.09,3.4,0.13,2.8,0.19,2.2,0.24,1.7,0.3
3.8,0.09,3.5,0.13,2.9,0.19,2.3,0.25,1.7,0.3
3.8,0.1,3.5,0.13,2.9,0.19,2.3,0.25,1.8,0.3
3.9,0.09,3.5,0.13,3,0.19,2.3,0.25,1.8,0.3
4,0.09,3.5,0.13,2.9,0.19,2.3,0.25,1.8,0.31
4,0.09,3.7,0.12,3,0.18,2.4,0.25,2,0.29
4,0.09,3.6,0.13,3.1,0.19,2.5,0.24,1.9,0.3
4.1,0.09,3.7,0.13,3.1,0.19,2.5,0.25,2,0.3
4,0.1,3.7,0.13,3.2,0.18,2.5,0.25,2,0.3
4.2,0.09,3.8,0.13,3.2,0.18,2.5,0.25,2,0.3
4.2,0.08,3.8,0.13,3.2,0.18,2.6,0.25,2.1,0.3
4.2,0.09,3.9,0.12,3.3,0.19,2.6,0.25,2.2,0.3
4.3,0.09,3.9,0.13,3.3,0.19,2.8,0.24,2.1,0.3
4.3,0.09,3.9,0.13,3.4,0.18,2.8,0.24,2.2,0.3
4.3,0.09,4,0.13,3.4,0.18,2.8,0.25,2.2,0.3
4.4,0.09,4,0.13,3.5,0.18,2.8,0.25,2.2,0.31
4.5,0.08,4,0.14,3.5,0.18,2.8,0.25,2.4,0.29
4.5,0.09,4.1,0.12,3.5,0.19,2.8,0.26,2.4,0.3
4.5,0.09,4.2,0.13,3.6,0.19,3,0.24,2.4,0.3
4.6,0.09,4.2,0.13,3.6,0.18,3,0.25,2.5,0.3
4.6,0.09,4.2,0.13,3.7,0.18,3,0.25,2.5,0.3
4.6,0.09,4.3,0.13,3.7,0.18,3,0.25,2.4,0.31
4.7,0.08,4.2,0.14,3.8,0.18,3.1,0.25,2.7,0.29
4.8,0.09,4.4,0.13,3.7,0.19,3.1,0.25,2.7,0.3
4.8,0.09,4.4,0.12,3.8,0.19,3.2,0.24,2.7,0.3
4.8,0.09,4.4,0.13,3.9,0.18,3.2,0.25,2.7,0.3
4.9,0.09,4.5,0.13,3.9,0.18,3.3,0.25,2.8,0.3
4.8,0.1,4.5,0.13,3.9,0.18,3.3,0.25,2.7,0.3
5,0.09,4.5,0.13,4,0.18,3.3,0.25,2.9,0.29
5,0.09,4.6,0.13,4,0.19,3.3,0.25,2.9,0.3
5,0.09,4.7,0.12,4,0.19,3.5,0.25,2.9,0.3
5,0.09,4.7,0.13,4.1,0.19,3.5,0.25,2.9,0.31
5.1,0.09,4.7,0.13,4.2,0.19,3.5,0.25,3,0.31
5.1,0.1,4.7,0.13,4.2,0.18,3.5,0.25,3,0.3
5.2,0.09,4.8,0.13,4.2,0.18,3.6,0.25,3.2,0.29
5.3,0.09,4.8,0.13,4.2,0.19,3.6,0.25,3.1,0.3
5.3,0.09,4.9,0.12,4.3,0.19,3.7,0.24,3.2,0.3
5.3,0.09,4.9,0.13,4.4,0.19,3.7,0.25,3.2,0.3
