channelA1,channelB1,channelA2,channelB2,channelA3,channelB3,channelA4,channelB4,channelA5,channelB5
5.3,0.09,5,0.13,4.4,0.18,3.7,0.25,3.1,0.31
5.4,0.09,5,0.13,4.5,0.18,3.8,0.25,3.3,0.3
5.4,0.09,5.1,0.13,4.5,0.18,3.8,0.25,3.4,0.3
5.5,0.09,5,0.14,4.5,0.19,3.9,0.25,3.4,0.3
5.5,0.09,5.2,0.13,4.6,0.19,4,0.25,3.4,0.3
5.6,0.09,5.2,0.13,4.6,0.19,4,0.25,3.5,0.3
5.6,0.09,5.2,0.13,4.7,0.18,4,0.25,3.4,0.31
5.6,0.09,5.2,0.13,4.7,0.18,4,0.25,3.6,0.29
5.6,0.1,5.3,0.13,4.7,0.19,4,0.25,3.6,0.3
5.8,0.09,5.2,0.14,4.8,0.18,4.1,0.25,3.6,0.3
5.8,0.09,5.4,0.13,4.8,0.19,4.2,0.24,3.6,0.3
5.8,0.09,5.5,0.12,4.9,0.19,4.2,0.25,3.7,0.3
5.9,0.09,5.5,0.13,4.9,0.19,4.3,0.25,3.7,0.31
5.9,0.09,5.5,0.13,5,0.18,4.3,0.25,3.9,0.29
5.9,0.1,5.6,0.13,5,0.19,4.3,0.25,3.8,0.3
6,0.09,5.6,0.13,5,0.18,4.4,0.25,3.9,0.3
6.1,0.09,5.6,0.13,5,0.19,4.5,0.25,3.9,0.3
6.1,0.09,5.7,0.12,5.1,0.19,4.5,0.25,3.9,0.31
6.1,0.09,5.7,0.13,5.1,0.19,4.5,0.25,4,0.3
6.1,0.09,5.8,0.13,5.2,0.18,4.5,0.25,4.1,0.29
6.2,0.09,5.8,0.13,5.2,0.18,4.6,0.25,4,0.3
6.2,0.09,5.8,0.13,5.3,0.18,4.6,0.25,4.1,0.3
6.3,0.09,5.8,0.14,5.3,0.19,4.7,0.24,4.2,0.3
6.3,0.09,6,0.12,5.3,0.19,4.7,0.25,4.1,0.31
6.3,0.09,6,0.13,5.4,0.18,4.7,0.25,4.3,0.3
6.3,0.09,6,0.13,5.4,0.18,4.8,0.25,4.3,0.29
6.4,0.09,6,0.13,5.5,0.18,4.8,0.25,4.3,0.3
6.4,0.1,6.1,0.13,5.5,0.19,4.9,0.25,4.4,0.3
6.5,0.09,6,0.14,5.5,0.19,5,0.24,4.4,0.3
6.6,0.09,6.2,0.13,5.6,0.19,5,0.25,4.3,0.32
6.6,0.09,6.3,0.12,5.6,0.19,5,0.25,4.5,0.3
6.6,0.09,6.2,0.13,5.7,0.18,5.1,0.25,4.5,0.3
6.7,0.09,6.3,0.13,5.7,0.18,5,0.26,4.6,0.3
6.7,0.1,6.3,0.13,5.8,0.19,5.1,0.25,4.6,0.3
6.8,0.09,6.3,0.14,5.8,0.19,5.2,0.25,4.7,0.3
6.9,0.09,6.4,0.13,5.8,0.19,5.2,0.25,4.7,0.31
6.9,0.09,6.5,0.13,5.9,0.19,5.3,0.25,4.8,0.3
6.9,0.09,6.5,0.13,5.9,0.19,5.3,0.25,4.8,0.3
6.9,0.09,6.6,0.13,6,0.19,5.3,0.26,4.8,0.3
7,0.09,6.6,0.13,6,0.19,5.4,0.25,4.8,0.31
7,0.1,6.6,0.13,6.1,0.18,5.5,0.24,4.8,0.31
7.1,0.09,6.7,0.13,6.1,0.19,5.5,0.25,4.9,0.31
7.1,0.09,6.8,0.12,6.1,0.19,5.5,0.25,5.1,0.29
7.1,0.09,6.8,0.13,6.2,0.19,5.5,0.25,5,0.3
7.2,0.09,6.8,0.13,6.2,0.19,5.5,0.26,5.1,0.3
7.2,0.09,6.8,0.13,6.3,0.19,5.6,0.25,5.1,0.3
7.1,0.1,6.9,0.13,6.3,0.19,5.7,0.24,5,0.32
7.3,0.09,6.8,0.14,6.3,0.19,5.7,0.25,5.2,0.3
7.4,0.09,7,0.12,6.4,0.19,5.8,0.25,5.3,0.3
7.4,0.09,7.1,0.12,6.4,0.18,5.8,0.25,5.3,0.3
7.4,0.09,7.1,0.13,6.5,0.19,5.7,0.26,5.3,0.3
7.4,0.09,7.1,0.13,6.5,0.19,5.9,0.25,5.3,0.3
7.5,0.1,7.1,0.13,6.6,0.19,6,0.25,5.3,0.32
7.5,0.1,7.1,0.14,6.5,0.19,6,0.25,5.5,0.3
7.6,0.09,7.2,0.13,6.6,0.19,6,0.25,5.5,0.3
7.6,0.09,7.3,0.12,6.7,0.19,6,0.25,5.5,0.3
7.7,0.09,7.3,0.13,6.7,0.18,5.9,0.26,5.5,0.3
7.7,0.09,7.3,0.13,6.8,0.19,6.1,0.25,5.6,0.3
7.8,0.09,7.4,0.13,6.8,0.19,6.2,0.25,5.6,0.31
7.7,0.1,7.3,0.14,6.8,0.19,6.2,0.25,5.7,0.3
7.9,0.09,7.5,0.13,6.9,0.19,6.3,0.25,5.7,0.31
7.9,0.09,7.6,0.12,6.9,0.19,6.3,0.25,5.8,0.31
7.9,0.09,7.6,0.13,7,0.19,6.2,0.26,5.8,0.3
8,0.09,7.6,0.13,7,0.19,6.4,0.25,5.8,0.3
8,0.09,7.6,0.13,7,0.19,6.5,0.25,5.9,0.3
8,0.1,7.7,0.13,7.1,0.19,6.5,0.25,6,0.3
8.1,0.09,7.7,0.13,7.1,0.19,6.5,0.25,6,0.3
8.2,0.08,7.8,0.12,7.2,0.19,6.5,0.25,6,0.3
8.2,0.09,7.8,0.13,7.2,0.19,6.5,0.26,6,0.3
8.2,0.09,7.8,0.13,7.2,0.19,6.7,0.25,6,0.32
8.3,0.09,7.9,0.13,7.3,0.19,6.7,0.25,6.2,0.3
8.3,0.1,7.9,0.13,7.4,0.18,6.7,0.25,6.2,0.3
8.3,0.09,7.9,0.14,7.3,0.19,6.7,0.25,6.2,0.3
8.4,0.08,8,0.12,7.4,0.19,6.8,0.25,6.3,0.3
8.4,0.09,8.1,0.13,7.5,0.19,6.7,0.26,6.3,0.3
8.5,0.09,8.1,0.13,7.5,0.19,6.9,0.25,6.2,0.32
8.5,0.1,8.1,0.13,7.5,0.19,7,0.25,6.5,0.3
8.5,0.1,8.2,0.13,7.6,0.19,6.9,0.25,6.5,0.3
8.5,0.1,8.1,0.14,7.6,0.19,7,0.25,6.5,0.31
8.7,0.09,8.3,0.12,7.6,0.19,7,0.25,6.5,0.31
8.7,0.09,8.3,0.13,7.7,0.19,7,0.26,6.5,0.3
8.7,0.09,8.3,0.13,7.7,0.19,7.2,0.25,6.5,0.31
8.7,0.1,8.4,0.13,7.8,0.19,7.2,0.25,6.7,0.3
8.8,0.09,8.4,0.13,7.8,0.19,7.2,0.25,6.7,0.31
8.7,0.1,8.4,0.14,7.9,0.19,7.2,0.26,6.7,0.31
8.9,0.09,8.5,0.13,7.9,0.19,7.3,0.25,6.7,0.31
8.9,0.09,8.6,0.12,7.9,0.19,7.2,0.26,6.8,0.31
9,0.09,8.6,0.13,8,0.19,7.4,0.25,6.8,0.31
9,0.09,8.6,0.13,8.1,0.19,7.5,0.25,6.9,0.3
9,0.09,8.7,0.13,8.1,0.19,7.5,0.25,6.9,0.31
9,0.09,8.7,0.13,8.1,0.18,7.5,0.25,7,0.3
9.1,0.08,8.6,0.13,8.1,0.18,7.5,0.24,7,0.29
9.1,0.07,8.8,0.11,8.1,0.17,7.4,0.24,6.9,0.29
9.1,0.07,8.7,0.1,8.1,0.16,7.6,0.22,7.1,0.27
9,0.06,8.7,0.1,8.1,0.16,7.5,0.21,7,0.26
8.9,0.06,8.6,0.1,8.1,0.15,7.5,0.21,6.9,0.26
8.9,0.06,8.6,0.09,8.1,0.14,7.4,0.21,6.9,0.26
8.8,0.06,8.4,0.1,7.9,0.14,7.4,0.2,6.8,0.25
8.8,0.05,8.5,0.08,7.9,0.14,7.2,0.2,6.7,0.26
8.7,0.05,8.4,0.08,7.8,0.14,7.3,0.19,6.8,0.24
8.6,0.05,8.3,0.08,7.8,0.13,7.2,0.19,6.7,0.24
8.5,0.05,8.2,0.08,7.7,0.13,7.1,0.19,6.6,0.24
8.5,0.05,8.2,0.08,7.7,0.13,7,0.2,6.6,0.24
8.3,0.06,8,0.08,7.5,0.14,7,0.19,6.5,0.23
8.3,0.05,8,0.08,7.5,0.13,6.9,0.2,6.3,0.25
8.3,0.05,8,0.08,7.4,0.13,6.9,0.18,6.5,0.23
8.2,0.05,7.9,0.08,7.4,0.13,6.8,0.18,6.3,0.24
8.1,0.05,7.8,0.08,7.3,0.13,6.7,0.19,6.2,0.24
8,0.05,7.7,0.08,7.2,0.13,6.6,0.19,6.1,0.24
7.9,0.05,7.6,0.08,7.1,0.13,6.5,0.18,6,0.23
7.8,0.05,7.5,0.08,7,0.12,6.4,0.18,6,0.23
7.8,0.04,7.5,0.07,6.9,0.12,6.4,0.18,6,0.22
7.7,0.05,7.4,0.07,6.9,0.13,6.3,0.18,5.8,0.23
7.6,0.05,7.3,0.08,6.8,0.12,6.2,0.18,5.7,0.23
7.5,0.05,7.2,0.08,6.7,0.13,6.1,0.18,5.7,0.23
7.4,0.05,7.1,0.08,6.6,0.12,6.1,0.18,5.5,0.24
7.3,0.05,7,0.09,6.5,0.13,6,0.18,5.5,0.23
7.3,0.04,7,0.07,6.5,0.13,6,0.17,5.5,0.23
7.2,0.05,6.9,0.07,6.4,0.12,5.9,0.18,5.3,0.23
7.1,0.05,6.8,0.08,6.3,0.12,5.8,0.18,5.3,0.23
7,0.05,6.7,0.08,6.2,0.12,5.6,0.18,5.2,0.23
6.9,0.05,6.6,0.07,6.2,0.12,5.5,0.18,5,0.24
6.7,0.05,6.5,0.08,6,0.12,5.5,0.18,5.1,0.22
6.8,0.04,6.5,0.07,6,0.12,5.5,0.17,5,0.22
6.7,0.04,6.4,0.07,5.9,0.12,5.4,0.18,4.8,0.23
6.6,0.05,6.3,0.07,5.8,0.12,5.3,0.18,4.8,0.23
6.5,0.05,6.2,0.08,5.7,0.12,5.2,0.18,4.7,0.23
6.4,0.05,6.1,0.08,5.7,0.12,5.1,0.18,4.5,0.24
6.3,0.05,6,0.08,5.5,0.13,5,0.18,4.6,0.22
6.2,0.05,5.9,0.08,5.5,0.12,5,0.17,4.5,0.22
6.2,0.04,5.9,0.07,5.4,0.12,4.9,0.18,4.4,0.22
6.1,0.05,5.8,0.08,5.3,0.12,4.8,0.18,4.3,0.22
6,0.05,5.7,0.08,5.3,0.12,4.7,0.18,4.2,0.23
5.9,0.05,5.6,0.08,5.2,0.12,4.5,0.18,4.1,0.23
5.8,0.04,5.6,0.07,5,0.12,4.5,0.17,4.1,0.21
5.7,0.05,5.4,0.08,5,0.12,4.5,0.17,4,0.22
5.7,0.05,5.4,0.07,4.9,0.12,4.4,0.18,3.9,0.22
5.6,0.04,5.4,0.07,4.8,0.12,4.3,0.18,3.8,0.23
5.5,0.05,5.2,0.08,4.8,0.12,4.2,0.18,3.7,0.23
5.4,0.04,5.1,0.07,4.7,0.12,4,0.18,3.7,0.22
5.3,0.05,5.1,0.07,4.6,0.12,4.1,0.17,3.6,0.22
5.2,0.05,4.9,0.08,4.5,0.12,4,0.17,3.5,0.22
5.2,0.05,4.9,0.07,4.4,0.12,3.9,0.18,3.5,0.22
5.2,0.04,4.9,0.07,4.4,0.12,3.8,0.18,3.3,0.23
5,0.04,4.8,0.07,4.3,0.12,3.7,0.18,3.1,0.24
4.9,0.04,4.7,0.07,4.2,0.12,3.5,0.18,3.2,0.22
4.8,0.04,4.5,0.07,4.1,0.12,3.6,0.17,3.1,0.21
4.7,0.05,4.5,0.07,4,0.12,3.5,0.17,3,0.22
4.7,0.05,4.4,0.08,3.9,0.12,3.4,0.17,2.9,0.22
4.7,0.04,4.4,0.07,3.9,0.12,3.3,0.18,2.9,0.22
4.6,0.04,4.3,0.07,3.8,0.12,3.2,0.18,2.7,0.23
4.4,0.04,4.2,0.07,3.7,0.12,3,0.18,2.8,0.21
4.3,0.05,4.1,0.07,3.6,0.12,3.1,0.17,2.6,0.22
4.3,0.04,4,0.07,3.5,0.12,3,0.17,2.5,0.22
4.1,0.05,3.8,0.08,3.4,0.12,2.9,0.18,2.4,0.22
4.2,0.04,3.9,0.07,3.4,0.12,2.8,0.18,2.4,0.22
4.1,0.04,3.8,0.07,3.3,0.12,2.7,0.17,2.2,0.22
3.9,0.04,3.7,0.07,3.2,0.12,2.6,0.18,2.3,0.21
3.8,0.04,3.6,0.07,3.1,0.11,2.6,0.17,2.1,0.21
3.8,0.04,3.5,0.07,3,0.12,2.5,0.17,2.1,0.21
3.6,0.05,3.3,0.08,2.9,0.12,2.4,0.17,1.9,0.22
3.6,0.05,3.3,0.07,2.9,0.12,2.3,0.18,1.8,0.22
3.6,0.04,3.3,0.07,2.8,0.12,2.3,0.17,1.8,0.22
3.4,0.04,3.2,0.07,2.7,0.12,2.1,0.18,1.8,0.21
3.3,0.05,3.1,0.07,2.6,0.12,2.1,0.17,1.6,0.22
3.3,0.05,3,0.07,2.5,0.12,2,0.17,1.6,0.22
3.2,0.05,2.9,0.07,2.5,0.12,1.9,0.17,1.5,0.22
3.1,0.05,2.8,0.08,2.4,0.12,1.8,0.17,1.3,0.23
3.1,0.04,2.8,0.07,2.3,0.12,1.8,0.17,1.4,0.21
3,0.04,2.7,0.07,2.2,0.11,1.6,0.18,1.3,0.21
2.9,0.04,2.6,0.07,2.1,0.11,1.7,0.16,1.2,0.21
2.8,0.04,2.5,0.07,2,0.12,1.5,0.17,1.1,0.21
2.7,0.04,2.4,0.07,2,0.12,1.4,0.17,1,0.21
2.6,0.05,2.3,0.08,1.9,0.12,1.3,0.17,0.8,0.23
2.6,0.04,2.3,0.07,1.8,0.12,1.3,0.17,0.9,0.21
2.5,0.04,2.2,0.06,1.7,0.11,1.1,0.17,0.8,0.21
2.4,0.04,2.1,0.07,1.6,0.11,1.2,0.16,0.7,0.21
2.3,0.04,2,0.07,1.6,0.11,1.1,0.17,0.6,0.21
2.2,0.04,1.9,0.07,1.5,0.12,1,0.17,0.6,0.21
2.1,0.05,1.8,0.08,1.4,0.12,0.9,0.17,0.4,0.22
2.1,0.04,1.8,0.07,1.3,0.11,0.8,0.17,0.5,0.2
2,0.03,1.8,0.06,1.3,0.11,0.7,0.17,0.3,0.2
1.9,0.04,1.6,0.06,1.2,0.11,0.7,0.16,0.3,0.2
1.8,0.04,1.5,0.07,1.1,0.11,0.6,0.16,0.2,0.2
1.7,0.04,1.5,0.07,1,0.12,0.5,0.17,0.2,0.2
1.6,0.04,1.4,0.07,0.9,0.11,0.4,0.17,0.2,0.19
1.5,0.05,1.3,0.07,0.8,0.11,0.3,0.16,0.2,0.18
1.5,0.04,1.3,0.06,0.8,0.11,0.3,0.16,0.2,0.17
1.4,0.04,1.2,0.06,0.7,0.11,0.3,0.15,0.2,0.16
1.3,0.04,1.1,0.07,0.6,0.11,0.2,0.16,0.2,0.16
1.2,0.05,1,0.07,0.5,0.12,0.2,0.15,0.1,0.15
1.2,0.04,0.9,0.07,0.5,0.11,0.2,0.14,0.2,0.14
1,0.05,0.8,0.07,0.4,0.11,0.2,0.13,0.1,0.13
1,0.04,0.8,0.06,0.3,0.1,0.1,0.12,0.1,0.12
0.9,0.03,0.7,0.06,0.3,0.1,0.1,0.11,0.1,0.11
0.8,0.04,0.6,0.06,0.2,0.1,0.1,0.11,0.1,0.11
0.7,0.04,0.5,0.06,0.2,0.1,0.1,0.1,0.1,0.1
0.7,0.04,0.4,0.06,0.1,0.09,0.1,0.09,0.1,0.09
0.5,0.04,0.3,0.07,0.1,0.08,0.1,0.09,0.1,0.09
0.5,0.04,0.3,0.06,0.1,0.07,0.1,0.08,0.1,0.08
0.5,0.03,0.2,0.06,0.1,0.07,0.1,0.07,0.1,0.07
0.4,0.04,0.2,0.06,0.1,0.06,0.1,0.06,0.1,0.06
0.3,0.04,0.1,0.05,0.1,0.06,0.1,0.06,0.1,0.06
0.2,0.04,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05
0.1,0.03,0.1,0.04,0.1,0.04,0.1,0.04,0.1,0.04
0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03,0.1,0.03
0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02
0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01
0.1,0.01,0.1,0.01,0.1,0.01,0,0.01,0,0.01
